date,auction_no,BP1,PF1,DUST1,FNGS_1_2,DUST_1_2,BP1_pkgs,PF1_pkgs,DUST1_pkgs,FNGS_1_2_pkgs,DUST_1_2_pkgs,total_pkgs,total_kgs,total_avg,usd_kes,source_pdf
2022-05-01,2022/20,265.0,260.0,269.0,150.0,177.0,4960.0,36480.0,5800.0,1280.0,360.0,66320.0,4644982.0,261.0,,May 2022.pdf
2024-04-01,2025/16,201.0,239.0,250.0,140.0,134.0,11040.0,45560.0,7280.0,1220.0,520.0,84100.0,5840820.0,229.0,,April 2024.pdf
2024-05-01,2024/22,259.0,280.0,276.0,130.0,162.0,4360.0,36960.0,6800.0,580.0,820.0,65160.0,4583566.0,273.0,,may 2024.pdf
2024-06-01,2024/26,256.0,280.0,272.0,132.0,148.0,3680.0,36160.0,5280.0,520.0,480.0,58680.0,4107761.0,273.0,,June 2024.pdf
2024-08-01,2024/35,287.0,291.0,291.0,137.0,149.0,2480.0,16200.0,4160.0,2500.0,940.0,33160.0,2294847.0,277.0,,August 2024.pdf
2024-12-01,2024/51,268.0,277.0,258.0,129.0,144.0,4760.0,32280.0,5680.0,1140.0,640.0,56900.0,3972040.0,266.0,,December 2024.pdf
2025-01-01,2025/01,277.0,281.0,251.0,122.0,144.0,5760.0,34280.0,5640.0,1420.0,880.0,60060.0,4174885.0,267.0,,Jan 2025.pdf
2025-04-17,2025/15,204.0,249.0,253.0,138.0,133.0,8680.0,43280.0,7160.0,1580.0,840.0,78260.0,5440709.0,237.0,,sale for 17.04.2025.pdf
2025-05-01,2025/21,176.0,228.0,229.0,126.0,126.0,13640.0,53060.0,7760.0,1660.0,820.0,103660.0,7206585.0,205.0,,May 2025.pdf
2025-06-16,2025/24,233.0,264.0,270.0,133.0,138.0,3960.0,27420.0,5920.0,1340.0,560.0,51920.0,3640168.0,251.0,,sale for 16.06.2025.pdf
2025-07-15,2025/28,224.0,256.0,255.0,133.0,135.0,5280.0,34880.0,6200.0,1380.0,920.0,60420.0,4207648.0,243.0,,sale for 15.07.2025.pdf
2025-08-15,2025/32,211.0,268.0,256.0,133.0,153.0,5440.0,35520.0,4320.0,1460.0,440.0,56660.0,3909458.0,251.0,,sale for 15.08.2025.pdf
2025-09-16,2025/37,211.0,260.0,267.0,134.0,146.0,5360.0,19280.0,3880.0,800.0,600.0,40000.0,2789088.0,243.0,,sale for 16.09.2025.pdf
2025-10-16,2025/41,226.0,282.0,280.0,151.0,152.0,6680.0,17560.0,4080.0,700.0,760.0,39340.0,2735675.0,260.0,,sale for 16.10.2025.pdf
2025-12-14,2025/45,234.0,282.0,271.0,169.0,145.0,6960.0,40840.0,7440.0,920.0,640.0,72640.0,5082122.0,266.0,,sale for 14.12.2025.pdf
2025-12-16,2025/50,229.0,316.0,281.0,162.0,153.0,5800.0,26240.0,6200.0,1120.0,700.0,54140.0,3797598.0,285.0,,sale for 16.12.2025.pdf
2026-01-16,2026/02,223.0,290.0,262.0,164.0,147.0,6320.0,25240.0,5720.0,1020.0,640.0,51160.0,3574986.0,266.0,,sale for 16.01.2026.pdf
2026-02-17,2026/07,230.0,291.0,269.0,161.0,147.0,6440.0,38880.0,7200.0,840.0,460.0,68020.0,4752125.0,278.0,,sale for 17.02.2026.pdf
2026-03-13,2026/13,235.0,287.0,262.0,173.0,163.0,7480.0,34160.0,5980.0,1460.0,700.0,62820.0,4355170.0,269.0,,sale for 13.03.2026.pdf
2026-03-14,2025/10,238.0,270.0,254.0,163.0,131.0,8560.0,52880.0,6960.0,1560.0,6.0,85980.0,5952896.0,256.0,,sale for 14.03.2026.pdf
2026-03-15,2026/15,232.0,284.0,252.0,179.0,158.0,6720.0,27600.0,6200.0,760.0,360.0,58720.0,4129730.0,262.0,,sale for 15.03.2026.pdf
2026-03-16,2025/19,189.0,244.0,229.0,122.0,128.0,8600.0,32240.0,6880.0,1520.0,600.0,71640.0,5022033.0,214.0,,sale for 16.03.2026.pdf
2026-03-17,2026/11,229.0,283.0,265.0,164.0,155.0,6400.0,36320.0,5820.0,1580.0,460.0,68260.0,4759657.0,268.0,,sale for 17.03.2026.pdf
